CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;12,17143;12,1;
2;DUE;False;0;0;0;;0;0;0;;10,05714;10;
3;TRE;False;0;0;0;;0;0;0;;4,014286;4;
4;QUATTRO;False;0;0;0;;0;0;0;;11,05;11;
5;CINQUE;False;0;0;0;;0;0;0;;13,38714;13,33;
6;SEI;False;0;0;0;;0;0;0;;9,035714;9;
7;SETTE;False;0;0;0;;0;0;0;;9,135715;9,1;
8;OTTO;False;0;0;0;;0;0;0;;5,114286;5,1;
9;NOVE;False;0;0;0;;0;0;0;;17,40857;17,33;
10;DIECI;False;0;0;0;;0;0;0;;15,07857;15;
